AffyID	Symbol	C_0	C_0.5	C_2	C_4
200094_s_at	EEF2	3938.43	3782.87	4347.37	3100.3
200095_x_at	RPS10	9296.27	9745	10796.7	9605.67
200096_s_at	ATP6V0E	399.6	353.77	333.33	332.03
200097_s_at	HNRPK	755.63	798.07	768.2	828.3
200098_s_at	ANAPC5	511.43	531.2	528.17	543.37
200099_s_at	---	4584.07	4400.2	4269.53	4671.47
208113_x_at	PABPC3	513.67	669.63	511.07	782.5
208066_s_at	GTF2B	226.1	234.27	217.33	340.93
221268_s_at	SGPP1	50.6	48.43	55.37	44.9
208025_s_at	HMGA2	214.67	233.73	206.53	171.37
208097_s_at	TXNDC	179.53	144.47	208.57	160.87
221012_s_at	TRIM8	87.23	79.57	86.97	106.43
221269_s_at	SH3BGRL3	259.47	211.17	266.77	202.2
208149_x_at	DDX11	375.37	261.3	415.93	290.13
221238_at	---	40.83	40	40	40
221020_s_at	MFTC	88.8	89.17	97.73	108.73
221027_s_at	PLA2G12	40	40	43.23	40
221240_s_at	B3GNT4	51.37	52.77	51.93	42
221016_s_at	TCF-3	122.63	125.03	130.37	107.27
208082_x_at	MKRN4	246.77	274.2	236.43	253.9
221019_s_at	COLEC12	41.83	57.67	55.43	54.1
221004_s_at	ITM2C	556.6	426.5	540.23	420.93
220964_s_at	RAB1B	265.13	296.13	285.67	248.67
221234_s_at	BACH2	105.93	96.57	82.63	153.4
221013_s_at	APOL2	49.57	40.7	59.27	41.8
208118_x_at	LAT1-3TM	76.13	94.2	96.53	87.97
208030_s_at	ADD1	75.53	93.77	88.2	76.6
220988_s_at	C1QTNF3	40	40	40	40
221005_s_at	PTDSS2	73.3	85.7	82.5	63.9
221437_s_at	MRPS15	178.2	188.13	170.03	161.6
221236_s_at	STMN4	42.33	40	48.67	40
221276_s_at	SYNCOILIN	40	41.97	40	40
208093_s_at	NUDEL	181.27	163.83	196.33	203.93
221260_s_at	C12orf22	77	74.47	75.8	113.67
208107_s_at	LOC81691	64.63	81.9	70.33	117.9
208022_s_at	CDC14B	64.27	78.8	75.43	60.4
220993_s_at	GPR63	40	40	44.4	40
221419_s_at	---	242.1	255.33	325.43	269.2
221249_s_at	LOC81558	117.93	111.73	114.47	108.83
221227_x_at	COQ3	145	155.93	146.77	142.07
221230_s_at	BCAA	238.37	238.17	181.5	347.7
208152_s_at	DDX21	648.57	587.83	595.33	837.17
208151_x_at	DDX17	115.57	116.53	130.37	117.3
208021_s_at	RFC1	162.77	184.97	185.6	193.1
208121_s_at	PTPRO	40	40	40	40.03
208146_s_at	CPVL	201.2	236.63	218.73	217.4
221261_x_at	MAGE-E1	115.73	115.07	98.93	90.7
204892_x_at	EEF1A1	8790.93	8831.43	10636.8	8403
212581_x_at	GAPD	5360.9	5795.43	6219.8	5154.87
211983_x_at	ACTG1	4593.47	4765.9	5143.23	4814.43
212400_at	---	100.3	110.8	84.8	85.1
212737_at	GM2A	203.57	220.23	181.7	149.73
213461_at	---	40.17	45.4	56.27	40.4
214167_s_at	RPLP0	1620.8	1705.87	1710.23	1595.7
214096_s_at	SHMT2	522.4	588.37	604.93	640.77
221864_at	MGC13024	164.83	162.8	149.77	142.47
212320_at	OK/SW-cl.56	2400.87	2535	2528.77	2137.07
200716_x_at	RPL13A	6598.9	6236.43	7320.93	5693.17
200748_s_at	FTH1	817.43	815.87	816.6	892.03
201257_x_at	RPS3A	6804.07	7034.53	7348.53	7286.93
201231_s_at	ENO1	2376.9	2490.1	2584.6	2568.27
207243_s_at	CALM2	3425.83	3756.43	3074.03	3824.8
200651_at	GNB2L1	5420.17	5263.87	5698.67	5226.37
216326_s_at	HDAC3	261.53	256.87	290.23	239.3
216520_s_at	TPT1	3968	3591.8	3937.2	3785.07
212955_s_at	POLR2I	494.97	517.2	442.57	426.67
200933_x_at	RPS4X	8136.43	8136.97	9810.23	8189.23
208692_at	RPS3	6719.83	6642.6	7484.9	6270.57
221989_at	RPL10	99.23	91.9	98.63	84
201590_x_at	ANXA2	1019.73	1288.73	1304.8	1317.87
201891_s_at	B2M	1423.77	1446.43	1316.5	1610.2
201251_at	PKM2	2549.87	2033.97	2515.33	1930.67
209118_s_at	TUBA3	1467.63	1715.67	1203	1616.1
213738_s_at	ATP5A1	2253.17	2488.53	2392.9	2315.97
200966_x_at	ALDOA	1742.3	1674.7	2173.1	1500.1
201426_s_at	RPLP2	4670.57	5009.97	5395.57	5254.07
221919_at	HNRPA1	53.33	40.37	61.2	68.27
213011_s_at	TPI1	1462.57	1398.2	1463.5	1394.33
212191_x_at	RPL13	3615.4	3290	3694.97	2881.8
217740_x_at	RPL7A	7208.67	7463.4	7659.43	7267.27
213414_s_at	RPS19	6282.7	6655.83	6542.4	5862.93
214359_s_at	HSPCB	1014.4	937.17	938.77	715.37
200773_x_at	PTMA	2349.87	2186.73	2487.63	2569.1
215157_x_at	PABPC1	2087.47	2083	2365.9	2361.1
211969_at	HSPCA	2410.5	2496.67	2441.27	2219.2
209140_x_at	HLA-B	2152.33	2174.87	2481.57	2345.07
210338_s_at	HSPA8	2970.23	2970.47	2941.47	2262.5
201293_x_at	PPIA	6168.7	6364.03	6741.2	5936.7
201429_s_at	RPL37A	8645.7	9083.43	9037.23	8771.13
208792_s_at	CLU	242.43	259.07	276.97	254.53
213883_s_at	BBP	119.87	130.07	84.57	112.13
200804_at	TEGT	1255.97	1263.83	1190.57	1449.77
212082_s_at	MYL6	1513.23	1602.63	1549.67	1563.7
201530_x_at	EIF4A1	4152.63	4241.63	4685.3	3561.67
200866_s_at	PSAP	443.2	354.7	448.23	318.73
202310_s_at	COL1A1	59.03	51.5	46.8	40
201030_x_at	LDHB	3214.93	3320.8	3218.3	3460.83
200717_x_at	RPL7	5670.5	5866.17	5501.2	5360.5
201471_s_at	SQSTM1	342.7	308.1	369.27	441.3
216247_at	RPS20	40	40	40	40.93
201049_s_at	RPS18	8031.4	8085.7	8879.4	7777.37
200936_at	RPL8	3696.1	3850.77	4015.53	3354.17
200839_s_at	CTSB	216.63	272.5	245.93	290.17
208905_at	CYCS	1270.43	1233.7	1233.07	1694.63
201665_x_at	RPS17	6034.43	6325.2	6428.47	5995.43
217747_s_at	RPS9	2560.4	2529.9	2843.13	2099.27
201273_s_at	SRP9	1385.97	1335.7	1121.8	1349.27
218679_s_at	VPS28	221.53	262.07	232.83	192.67
200817_x_at	RPS10	9100.7	9479.1	11318.83	8580.43
215313_x_at	HLA-A	1616.07	1648.97	1735.83	1654.87
200869_at	RPL18A	3976.6	3973.43	4572.3	3800.07
208668_x_at	HMGN2	4462.73	4647.6	5040.13	5029.93
201596_x_at	KRT18	681.13	772.7	715.83	567.97
208825_x_at	RPL23A	8794.33	9212.97	10182.23	9175.3
210949_s_at	EIF3S8	1840.63	1729.53	1808.33	1552.33
200650_s_at	LDHA	2381.93	2559.17	2516.93	2476.13
214157_at	GNAS	45.2	42.23	46.67	46.07
211999_at	H3F3B	1462.23	1706.27	1592.4	1848.5
221476_s_at	RPL15	2838.87	2941.23	3134.2	3183.73
200912_s_at	EIF4A2	1198.03	1289.37	1091.3	1493.63
200937_s_at	RPL5	3215.77	3450.83	3303.23	3188.77
208703_s_at	APLP2	630.27	519.7	663.27	539.53
200763_s_at	RPLP1	4900.03	4713.27	5225.83	4748.1
200886_s_at	PGAM1	1543.83	1667.17	1624.43	1641.93
202028_s_at	RPL38	492.4	560.6	679.87	439.77
208680_at	PRDX1	2014.83	2064.07	2018.43	1844.57
201841_s_at	HSPB1	112.17	110.4	117.9	94.57
200823_x_at	RPL29	2591.4	2861.43	2507.7	2555
208977_x_at	TUBB2	2322.8	2532.5	2646.47	2132.07
200962_at	---	279.8	244.17	251	230.37
214665_s_at	---	299.33	335.07	274.43	287.27
204805_s_at	TGM2	561.9	394.67	553.27	380.23
200679_x_at	HMGB1	540	588.53	760.2	755.33
200858_s_at	RPS8	2983.93	2866.3	2753.1	3146.5
203034_s_at	RPL27A	6160.77	6193.43	6826.8	6031.7
211509_s_at	RTN4	1150.8	1166.37	959.1	1292.53
200640_at	YWHAZ	1268.83	1140.37	1310.67	1273.97
209008_x_at	KRT8	443.1	389.07	392.27	314.77
200910_at	CCT3	896.17	993.1	950.53	838.23
201010_s_at	TXNIP	297.97	272.23	307.33	230.1
208718_at	---	3005.93	2944.77	3009.5	3166.87
200738_s_at	PGK1	1063	1136.33	1101.27	1327.03
200809_x_at	RPL12	4040.53	4286.87	4454.17	3905.03
208645_s_at	RPS14	5483.67	5103.53	6191.8	4990.17
200643_at	HDLBP	284.67	245.93	292.97	235.03
200750_s_at	RAN	1516.4	1630.77	1524.27	1679.07
208754_s_at	NAP1L1	332.7	353.4	315.1	422.07
220948_s_at	ATP1A1	858.97	829.3	881.63	668.6
216526_x_at	HLA-C	3417.6	3605.07	4090.77	3813.73
200783_s_at	STMN1	212.27	272.87	205.93	284.03
208655_at	CCNI	957.23	979.53	814.7	1102
211985_s_at	---	147.03	147.2	152.63	147.43
200656_s_at	P4HB	751.93	594.07	730.3	483.83
201258_at	RPS16	2651.3	2892.53	3040.67	2647.23
200888_s_at	RPL23	4011.73	4750.47	5226.17	4152.37
200792_at	G22P1	1805.63	2272.8	2123.4	1793.13
212952_at	CALR	371.23	413.17	373.87	574.77
213377_x_at	C1S	5353.87	5403.63	5825.5	5328.47
206074_s_at	HMGA1	466.27	408.6	395.07	340.27
200766_at	CTSD	156.37	121.2	166.4	117.9
219939_s_at	D1S155E	888.1	835.9	876.47	792.13
200613_at	AP2M1	886.67	1033.77	1028.67	948.17
213746_s_at	FLNA	385.77	323.1	407.7	259.13
202026_at	SDHD	154.23	164.57	128.17	162.47
200633_at	UBB	5940.07	6365.9	6594.27	6021.9
208628_s_at	NSEP1	2914.97	3179.07	3037.43	3433.23
217915_s_at	C15orf15	307	307.47	285.9	350.33
200602_at	APP	90.23	118.93	82	131.07
200779_at	ATF4	1453.9	1664.47	1787.37	1811.73
200674_s_at	RPL32	4456.83	5035.9	5248.9	5042.37
217732_s_at	ITM2B	856.4	834.73	854.43	909.03
200832_s_at	SCD	424.27	428.57	431.27	397.2
200807_s_at	HSPD1	2588.47	2896.43	2594.23	2789.2
208677_s_at	BSG	755.27	642.53	848.3	579.4
203113_s_at	EEF1D	967.4	956.23	987.07	865.8
201348_at	GPX3	226.93	209.53	236.97	195.33
200677_at	PTTG1IP	585.97	588.4	592.53	638.57
200904_at	HLA-E	97.4	95.9	108.17	107.13
213587_s_at	LOC155066	489.63	477.87	472.2	381.9
200599_s_at	TRA1	1758.83	1758.87	1257.93	1486.77
208610_s_at	SRRM2	285.93	279.77	284.3	294.37
212426_s_at	YWHAQ	813.17	802.83	684.37	870.5
208612_at	GRP58	508.73	584.6	560.53	494.6
201619_at	PRDX3	1054.53	1142.33	996.23	1252.23
213655_at	YWHAE	1895.23	2840.03	2728.73	2564
203455_s_at	SAT	674.4	820.57	600.9	866.37
203411_s_at	LMNA	328.2	291.8	390.47	234.4
200909_s_at	RPLP2	4203.37	3885.83	4262.73	3762.3
200705_s_at	EEF1B2	2373.9	2480.93	2275.8	2515.37
212137_at	MGC19556	720.8	731.43	706.07	677.43
200665_s_at	SPARC	586.4	554.27	509.4	500.33
201322_at	ATP5B	1813.03	2054.87	2115.47	1857.83
200634_at	PFN1	1993.53	1365.87	1739	1600.77
201894_s_at	DCN	342.6	319.2	313.3	328
213798_s_at	CAP	494.23	517.77	503.93	548.2
200741_s_at	RPS27	3902	4099.53	3885.03	3633.6
201397_at	PHGDH	290.43	334.33	315.03	274.5
206621_s_at	WBSCR1	919.8	858.4	982.1	724.7
211926_s_at	MYH9	291.47	270.23	349.5	232.9
208852_s_at	CANX	633.53	534.93	641.93	471.57
208640_at	RAC1	1857.5	1942.2	1845.07	2315.4
210978_s_at	TAGLN2	931.53	692.17	908.43	637.7
208673_s_at	SFRS3	310	353.13	295.8	376.67
211941_s_at	PBP	1533.5	1214.57	1373.03	1035.63
208619_at	DDB1	595.87	567.43	533.4	494.67
220605_s_at	SIRT2	157.43	137.93	192.5	176.47
211939_x_at	BTF3	2747.53	2762.6	2684.63	3021.67
218831_s_at	FCGRT	202	214.4	229.57	177.47
201318_s_at	MLCB	885.6	784.5	758.6	956.37
210986_s_at	TPM1	172.3	220.63	153.17	205.1
208697_s_at	EIF3S6	1589.13	1588.07	1477.03	1859.27
217807_s_at	GLTSCR2	2091.73	2044.17	2625.43	2177.87
208624_s_at	EIF4G1	152.33	103.03	150.53	112.47
200923_at	LGALS3BP	411.3	391.27	431.07	339.23
213803_at	KPNB1	406.27	331.1	338.33	318.57
218084_x_at	FXYD5	429.2	431.77	421.87	336.27
200845_s_at	AOP2	705.17	831.93	670.37	740.07
221474_at	MLC-B	649.93	859.6	579.9	749.37
200764_s_at	CTNNA1	369.1	400.23	409.8	367.1
201149_s_at	TIMP3	61.67	59.2	71.07	74.87
217756_x_at	SERF2	608.17	627.8	639.3	560.07
222018_at	NACA	67	57.5	63.83	61.2
204102_s_at	EEF2	4140.27	3926.93	4891.97	3738.53
208650_s_at	CD24	40	40	40	40
209096_at	UBE2V2	194.17	191.07	171.17	246.5
200673_at	LAPTM4A	1047.33	1072.67	881.47	1085.83
200984_s_at	CD59	509.7	500.87	590	424.93
212099_at	---	572.53	544.57	969.7	840.5
208821_at	SNRPB	1163.93	1152.6	1153.63	1066.43
203258_at	DRAP1	202.3	199.7	190.63	183.03
217733_s_at	TMSB10	2385.13	2462.4	2489.67	2248.6
200593_s_at	HNRPU	956.73	855.7	1113.47	993.77
200990_at	TRIM28	2183.7	1824.4	2251	1909.23
208659_at	CLIC1	805.23	847.2	837.3	809.97
200971_s_at	SERP1	416.57	337.63	279.1	308.67
200812_at	CCT7	1123.6	1326.27	1263.6	1121.13
215001_s_at	GLUL	958.2	1068.1	878.53	958.47
208642_s_at	XRCC5	1091.43	1223.6	1087.2	1080.1
218617_at	IPT	130.2	140.27	122.57	139.8
200819_s_at	RPS15	7049.03	7462.83	7671.3	6716.47
213879_at	SMT3H2	122.37	128.5	118.77	111.27
201088_at	KPNA2	851.53	762.3	682.6	648.53
200631_s_at	SET	1327.57	1520.2	1489.4	1657.53
200978_at	MDH1	1366.33	1556.93	1356.43	1552
212266_s_at	SFRS5	569.4	646.83	748.03	664.53
200853_at	H2AFZ	1655.27	2080.1	2041.07	2051.73
200718_s_at	SKP1A	2036.3	2003.63	1898.17	2304.6
211284_s_at	GRN	270.07	288.47	340.33	240.03
221494_x_at	M9	1009.2	1014.67	964.13	1009.4
213606_s_at	ARHGDIA	252.57	140.53	231.33	162.07
201002_s_at	UBE2V1	664.27	652.9	681	694.97
209277_at	TFPI2	42.5	45.8	40	95.3
208638_at	ATP6V1C2	600.47	699.53	569.7	691.07
201327_s_at	CCT6A	408.2	410.2	361.97	395.6
201097_s_at	ARF4	623.43	670.27	531.5	715.6
205292_s_at	HNRPA2B1	1538.23	1601.7	1464.27	1686.17
201427_s_at	SEPP1	525.47	545.1	424.37	584.23
202995_s_at	FBLN1	113.53	137.07	145.73	99.77
200623_s_at	CALM3	1071.3	814.2	1007.3	754.53
212016_s_at	PTBP1	436.53	328.4	588.37	356.9
208623_s_at	VIL2	440.57	442.13	444.47	411.63
208666_s_at	ST13	216.6	214.83	186.9	221.8
200745_s_at	GNB1	880	831.77	1029.77	749.93
200757_s_at	CALU	417.83	448.33	429.6	497.47
200824_at	GSTP1	1144.57	1015.47	1017.37	754.03
200781_s_at	RPS15A	4760.7	5130.2	5452.4	4816.47
215111_s_at	TSC22	315.63	337.13	236.8	305.8
201586_s_at	SFPQ	1194.53	1041.87	1056.47	997.33
220189_s_at	MGAT4B	382.8	301.43	403.53	268.17
200627_at	TEBP	1380.17	1495.9	1474.5	1604.83
201250_s_at	SLC2A1	134.67	154.73	123.6	124.53
200847_s_at	MGC8721	246.7	286.23	210.5	321.2
200662_s_at	TOMM20-PENDING	1409.6	1392.93	1362.93	1588.7
201209_at	HDAC1	509.4	544.47	517.87	548.93
208631_s_at	HADHA	306.63	296.53	338.1	270.8
208700_s_at	TKT	368.8	408.7	401.57	336.5
200862_at	DHCR24	766.73	645.67	558.8	402.77
209248_at	GHITM	579.57	559.37	450	704.83
212595_s_at	DAZAP2	369.6	311.27	374.93	277.87
217720_at	LOC51142	2471.37	2376.43	2530.9	2466.5
204031_s_at	PCBP2	2319.77	1847.73	2035.07	1877.17
201012_at	ANXA1	889.53	933.5	836.93	955.8
208706_s_at	EIF5	305.63	350.27	340.9	453.83
200663_at	CD63	1645.77	1653.8	1588.73	1366.1
200614_at	CLTC	2017.43	2155.47	2017.9	2248.83
200709_at	FKBP1A	717.37	763.8	624.8	697.37
200670_at	XBP1	111.9	126.4	107.83	128.2
208783_s_at	MCP	149.83	160	116.77	192.53
213762_x_at	RBMX	804.53	861.27	817.13	866.83
200837_at	BCAP31	1110.4	980.67	1014.73	903.37
210891_s_at	GTF2I	865.1	805.67	759.03	670.93
213282_at	---	93.7	102.2	90	99.57
208649_s_at	VCP	659.83	598.27	762.3	527.73
209067_s_at	HNRPDL	646.97	769.03	685.33	812.33
217982_s_at	MORF4L1	1293.83	1637.13	1515.1	1566.7
200968_s_at	PPIB	795.87	844.57	963.93	868.67
214911_s_at	BRD2	1321.67	1210.37	1298.57	1262.33
201784_s_at	SMAP	772.47	624.73	645.63	859.47
211937_at	EIF4B	835.97	767.63	849.3	716.8
200610_s_at	NCL	1506.8	1353.67	1522.4	1441.77
211375_s_at	ILF3	364.37	320.13	321.43	319.8
200976_s_at	TAX1BP1	504.37	524.57	506.17	564.4
201094_at	RPS29	3502.63	3636.93	3482.8	3822.77
201417_at	---	872.63	943.3	796.53	989.27
208654_s_at	CD164	349.27	327.8	304.9	311.17
214132_at	---	49.37	55.4	66.57	80
201368_at	ZFP36L2	160.83	166.77	184.57	218.63
200601_at	ACTN4	316.53	202.03	291.73	251.43
213671_s_at	MARS	213.73	213.47	180.97	209.73
208689_s_at	RPN2	1265.33	1280.27	1313.67	1205.77
220954_s_at	PILR(BETA)	106.2	71.03	128.07	111.1
211575_s_at	UBE3A	133.9	109.9	127.03	130.5
200657_at	SLC25A5	3349.87	3357.6	3567.03	3394.73
200699_at	RPL23	555.1	608.6	602.27	569.13
214882_s_at	SFRS2	851.2	969.6	1271.93	1088.2
202182_at	GCN5L2	191.97	133.33	174.1	102.77
208691_at	TFRC	689.13	610.57	595.97	702.57
201360_at	CST3	1055.73	853.17	1072.27	769.67
200899_s_at	MGEA5	197.3	214.43	254.1	227.3
200695_at	PPP2R1A	601.5	607.83	737.87	592.5
213923_at	RAP2B	238.8	239.3	250	287.2
200929_at	TMP21	193.3	237.53	211.8	198.93
200642_at	SOD1	2253.5	2284.4	2280.07	2397.2
200924_s_at	SLC3A2	143.3	134.7	186.57	180.67
218813_s_at	SH3GLB2	142.8	104.87	140.8	96.57
201271_s_at	RALY	231.47	227.77	253	176.83
208695_s_at	RPL39	6048.23	6170.6	6709.1	6356.1
213151_s_at	CDC10	816.3	926.57	803.3	974.03
201387_s_at	UCHL1	572.17	583.5	573.6	612.97
209186_at	ATP2A2	736.67	767.87	752.07	854.8
203973_s_at	CEBPD	40	40.37	42.03	44.1
200921_s_at	BTG1	391.37	427.4	368.9	491.7
204179_at	MB	40.93	40	43.4	40
208756_at	EIF3S2	714.73	695.9	800.7	632.83
217729_s_at	AES	227.5	182.07	230.57	164.47
201339_s_at	SCP2	189.07	187.13	179.37	229
200877_at	CCT4	2188.67	2661.27	2398.23	2471.17
200682_s_at	---	802.23	871.07	863.87	821
215399_s_at	OS-9	180.13	150.47	145.67	149.2
201272_at	AKR1B1	948.53	937.67	1028.77	919.3
208675_s_at	DDOST	1533.1	1523.5	1708.6	1346.2
200896_x_at	HDGF	816.73	796.97	830.87	717.33
200603_at	PRKAR1A	484.7	477.03	372.1	471.97
208616_s_at	PTP4A2	630.37	770.97	548.47	634.87
212037_at	PNN	257.63	267.77	251.13	332.33
200608_s_at	RAD21	336.93	281.8	262.73	358.43
200944_s_at	HMGN1	1546.77	1597.63	1505.63	1633.93
210950_s_at	FDFT1	770.27	717.53	758.57	681.67
200660_at	S100A11	205.87	213.8	216.67	215.87
200668_s_at	UBE2D3	599.97	644.6	625.5	784.33
200959_at	FUS	548.77	566.93	689.83	624.97
201105_at	LGALS1	79.9	88.17	109.83	80.27
200797_s_at	MCL1	490.7	574.1	653.4	676.9
200691_s_at	HSPA9B	514.43	558.9	546.17	715.4
212600_s_at	UQCRC2	646.57	645.13	587.23	750.83
39729_at	PRDX2	1158.1	1216.57	1136.5	1109.67
217773_s_at	NDUFA4	809.7	719.73	751.77	807.93
218013_x_at	DCTN4	169.57	168.87	163.5	143.23
201669_s_at	MARCKS	978.27	1133.3	762.27	951.83
200735_x_at	NACA	4317.13	4160.57	4395.87	4556.73
200696_s_at	GSN	212.6	236.7	256.33	190.5
208794_s_at	SMARCA4	386.23	414.6	374.6	363.3
211954_s_at	KPNB3	386.2	411.6	383.6	408.1
200958_s_at	SDCBP	699.13	757.27	678.7	1073.87
200708_at	GOT2	735.73	886.4	836.17	884.5
200830_at	PSMD2	532.13	604.63	635.5	579.37
208658_at	ERP70	108.63	104.07	91.57	81.2
200620_at	C1orf8	746.73	733.07	667.6	776.57
208712_at	CCND1	42.33	42.67	42.2	49.47
222021_x_at	SDHA	705.4	662.17	757.7	659.03
200974_at	ACTA2	209.77	230.57	220.6	189.7
200926_at	RPS23	7462.03	7323.5	7525.97	7518.43
212203_x_at	IFITM3	311.87	310.17	343.1	258.27
200720_s_at	ACTR1A	265.73	266.67	298.3	232.47
200902_at	B1ספטמבר-15	195.5	187.27	140.67	208.9
208310_s_at	FSTL1	153.57	180.47	156.43	164.23
200768_s_at	MAT2A	518.2	558.03	563.7	541.83
209701_at	CAST	40.1	52.07	48.07	40
208682_s_at	MAGED2	325.53	362.8	323.37	298.1
200793_s_at	ACO2	354.67	323.67	357.13	304.73
200901_s_at	M6PR	263.4	288.7	312.17	258.2
210715_s_at	SPINT2	108.5	133.27	136	156.13
200626_s_at	MATR3	816.83	881.1	746.3	950.13
200728_at	---	500.07	510.43	539.63	432.93
200629_at	WARS	162.7	184.47	194.4	164.4
