	chrom	start	end	gid	gname	tid	strand	biotype	byname.uniq	bygid.uniq
83666	chr3L	22281765	22285910	FBgn0027086	Aats-ile	FBtr0078500	+	protein_coding	TRUE	TRUE
180656	chr3L	4825853	4829038	FBgn0027085	Aats-leu	FBtr0073348	+	protein_coding	TRUE	TRUE
100775	chrX	9500396	9502917	FBgn0027084	Aats-lys	FBtr0071366	-	protein_coding	TRUE	TRUE
15275	chr3R	10077212	10085708	FBgn0027083	Aats-met	FBtr0082895	-	protein_coding	TRUE	TRUE
5230	chr2R	9855852	9857407	FBgn0020766	Aats-phe	FBtr0087594	+	protein_coding	TRUE	TRUE
28729	chr3L	2650161	2651850	FBgn0027082	Aats-pro	FBtr0072948	-	protein_coding	TRUE	TRUE
147120	chr3R	11166407	11167939	FBgn0021750	Aats-ser	FBtr0083086	+	protein_coding	TRUE	TRUE
151598	chr2L	12103734	12106894	FBgn0027081	Aats-thr	FBtr0080331	+	protein_coding	TRUE	TRUE
111105	chr3R	5089539	5092670	FBgn0010803	Aats-trp	FBtr0081980	-	protein_coding	TRUE	TRUE
68317	chr3L	16410449	16412402	FBgn0027080	Aats-tyr	FBtr0075410	-	protein_coding	TRUE	TRUE
54137	chr2R	9086355	9090214	FBgn0027079	Aats-val	FBtr0087734	+	protein_coding	TRUE	TRUE
109172	chr3L	9416353	9417881	FBgn0023129	aay	FBtr0076457	+	protein_coding	TRUE	TRUE
62269	chr2L	11210681	11261080	FBgn0264442	ab	FBtr0332558	+	protein_coding	TRUE	TRUE
148184	chr2R	14874846	14896469	FBgn0034412	abba	FBtr0114622	+	protein_coding	TRUE	TRUE
32994	chr3L	1618414	1623413	FBgn0035244	ABCB7	FBtr0072754	+	protein_coding	TRUE	TRUE
33229	chr3R	12632936	12655767	FBgn0000014	abd-A	FBtr0306337	-	protein_coding	TRUE	TRUE
53403	chr3R	12752932	12797958	FBgn0000015	Abd-B	FBtr0083385	-	protein_coding	TRUE	TRUE
34230	chr3R	9944984	9948142	FBgn0020510	Abi	FBtr0082910	-	protein_coding	TRUE	TRUE
95422	chr3L	16615470	16640982	FBgn0000017	Abl	FBtr0330136	-	protein_coding	TRUE	TRUE
184065	chr2L	10973443	10975273	FBgn0000018	abo	FBtr0080168	-	protein_coding	TRUE	TRUE
160386	chr3R	58765	60763	FBgn0015331	abs	FBtr0078967	+	protein_coding	TRUE	TRUE
78095	chrX	264064	264980	FBgn0000022	ac	FBtr0070072	+	protein_coding	TRUE	TRUE
91320	chrX	15405268	15448311	FBgn0022710	Ac13E	FBtr0332497	-	protein_coding	TRUE	TRUE
129331	chr2L	21632587	21647964	FBgn0023416	Ac3	FBtr0085897	+	protein_coding	TRUE	TRUE
95032	chr3L	19932387	19971060	FBgn0004852	Ac76E	FBtr0304746	+	protein_coding	TRUE	TRUE
98655	chr3L	21129547	21165030	FBgn0024150	Ac78C	FBtr0301701	-	protein_coding	TRUE	TRUE
135090	chr2R	3861620	3874729	FBgn0033246	ACC	FBtr0113054	-	protein_coding	TRUE	TRUE
54726	chr3L	21263822	21273343	FBgn0012034	AcCoAS	FBtr0078413	-	protein_coding	TRUE	TRUE
40919	chr3R	9053964	9085240	FBgn0000024	Ace	FBtr0300486	-	protein_coding	TRUE	TRUE
156044	chr2L	8521933	8525740	FBgn0016122	Acer	FBtr0333416	+	protein_coding	TRUE	TRUE
140159	chr3R	27619811	27625533	FBgn0027620	Acf1	FBtr0085845	+	protein_coding	TRUE	TRUE
105779	chr2R	8399035	8402556	FBgn0033749	achi	FBtr0087942	-	protein_coding	TRUE	TRUE
70087	chrX	15245315	15272487	FBgn0000028	acj6	FBtr0100328	-	protein_coding	TRUE	TRUE
28853	chr3L	4108186	4114157	FBgn0028484	Ack	FBtr0073211	+	protein_coding	TRUE	TRUE
127959	chr2L	19045376	19048633	FBgn0263198	Acn	FBtr0081145	+	protein_coding	TRUE	TRUE
7552	chr2L	21168616	21173017	FBgn0010100	Acon	FBtr0300425	+	protein_coding	TRUE	TRUE
75605	chr2R	17276901	17279944	FBgn0034629	Acox57D-d	FBtr0071607	+	protein_coding	TRUE	TRUE
185321	chr2R	17273859	17276788	FBgn0034628	Acox57D-p	FBtr0071606	+	protein_coding	TRUE	TRUE
117141	chr2L	7740552	7741542	FBgn0014454	Acp1	FBtr0079500	-	protein_coding	TRUE	TRUE
121556	chr2L	3693184	3693889	FBgn0051779	Acp24A4	FBtr0305673	-	protein_coding	TRUE	TRUE
170193	chr2L	5892883	5893896	FBgn0002855	Acp26Aa	FBtr0079155	-	protein_coding	TRUE	TRUE
149528	chr2L	5892298	5892862	FBgn0002856	Acp26Ab	FBtr0079157	-	protein_coding	TRUE	TRUE
63080	chr2L	8392456	8393222	FBgn0015583	Acp29AB	FBtr0079716	-	protein_coding	TRUE	TRUE
70620	chr2L	11015642	11016571	FBgn0023415	Acp32CD	FBtr0080158	+	protein_coding	TRUE	TRUE
112027	chr2L	18356125	18359026	FBgn0011559	Acp36DE	FBtr0081054	-	protein_coding	TRUE	TRUE
132988	chr2R	12635565	12636077	FBgn0034152	Acp53C14a	FBtr0087082	-	protein_coding	TRUE	TRUE
163050	chr2R	12636411	12636952	FBgn0034153	Acp53C14b	FBtr0087081	-	protein_coding	TRUE	TRUE
14697	chr2R	12638281	12638974	FBgn0053530	Acp53C14c	FBtr0303024	-	protein_coding	TRUE	TRUE
169730	chr2R	12637308	12637827	FBgn0015584	Acp53Ea	FBtr0087080	-	protein_coding	TRUE	TRUE
37245	chr2R	13020963	13021255	FBgn0083936	Acp54A1	FBtr0110768	+	protein_coding	TRUE	TRUE
142337	chr3L	2739750	2740228	FBgn0020509	Acp62F	FBtr0072943	+	protein_coding	TRUE	TRUE
86625	chr3L	3815839	3816354	FBgn0015585	Acp63F	FBtr0073182	-	protein_coding	TRUE	TRUE
91055	chr3L	6145150	6145845	FBgn0020765	Acp65Aa	FBtr0077021	-	protein_coding	TRUE	TRUE
25184	chr3L	13294735	13295022	FBgn0003034	Acp70A	FBtr0075836	+	protein_coding	TRUE	TRUE
89470	chr3L	19043857	19045126	FBgn0015586	Acp76A	FBtr0075038	-	protein_coding	TRUE	TRUE
150053	chr3R	20054697	20055001	FBgn0002863	Acp95EF	FBtr0084561	+	protein_coding	TRUE	TRUE
132608	chr3R	23520605	23520773	FBgn0263597	Acp98AB	FBtr0310089	+	protein_coding	TRUE	TRUE
115717	chr3R	25816863	25819130	FBgn0000032	Acph-1	FBtr0085609	-	protein_coding	TRUE	TRUE
160064	chr2R	4553318	4570527	FBgn0263120	Acsl	FBtr0100427	+	protein_coding	TRUE	TRUE
112363	chr2R	1901415	1903190	FBgn0000043	Act42A	FBtr0086029	-	protein_coding	TRUE	TRUE
175410	chr2R	16831533	16833945	FBgn0000044	Act57B	FBtr0071519	+	protein_coding	TRUE	TRUE
154340	chrX	5794894	5798821	FBgn0000042	Act5C	FBtr0100662	+	protein_coding	TRUE	TRUE
39286	chr3L	21978310	21980290	FBgn0000045	Act79B	FBtr0078478	+	protein_coding	TRUE	TRUE
100793	chr3R	9251707	9253811	FBgn0000046	Act87E	FBtr0082785	+	protein_coding	TRUE	TRUE
58637	chr3R	11265710	11267895	FBgn0000047	Act88F	FBtr0083143	+	protein_coding	TRUE	TRUE
166206	chr4	1097946	1105418	FBgn0024913	Actbeta	FBtr0089209	-	protein_coding	TRUE	TRUE
144511	chrX	1918789	1936344	FBgn0000667	Actn	FBtr0310657	-	protein_coding	TRUE	TRUE
161583	chr3R	12801607	12803517	FBgn0015008	Actn3	FBtr0083380	-	protein_coding	TRUE	TRUE
82045	chrX	15629807	15631153	FBgn0011741	Actr13E	FBtr0074203	-	protein_coding	TRUE	TRUE
48417	chr2L	12921091	12925453	FBgn0040510	ACXA	FBtr0305491	+	protein_coding	TRUE	TRUE
142617	chr2L	12916814	12921008	FBgn0040509	ACXB	FBtr0080414	+	protein_coding	TRUE	TRUE
34046	chr2L	12912530	12916774	FBgn0040508	ACXC	FBtr0080413	+	protein_coding	TRUE	TRUE
190849	chr3L	2237608	2243719	FBgn0040507	ACXD	FBtr0072874	+	protein_coding	TRUE	TRUE
83539	chr2L	12925611	12929823	FBgn0040506	ACXE	FBtr0310556	+	protein_coding	TRUE	TRUE
49612	chr2L	13912139	13912596	FBgn0025115	Acyp	FBtr0080555	+	protein_coding	TRUE	TRUE
115117	chr3R	11618461	11619116	FBgn0038363	Acyp2	FBtr0083174	+	protein_coding	TRUE	TRUE
159283	chr3R	4890905	4892025	FBgn0037661	Ada	FBtr0081971	+	protein_coding	TRUE	TRUE
72770	chr2L	11996811	11997965	FBgn0051865	Ada1-1	FBtr0080289	+	protein_coding	TRUE	TRUE
182061	chr2L	11992906	11994054	FBgn0051866	Ada1-2	FBtr0080287	+	protein_coding	TRUE	TRUE
185449	chr3R	14078565	14081191	FBgn0263738	Ada2a	FBtr0310382	-	protein_coding	TRUE	TRUE
178146	chr3R	4062838	4066234	FBgn0037555	Ada2b	FBtr0081807	-	protein_coding	TRUE	TRUE
106062	chr2R	5856465	5858410	FBgn0027619	Adam	FBtr0088387	+	protein_coding	TRUE	TRUE
146257	chrX	1667752	1682100	FBgn0026086	Adar	FBtr0305499	+	protein_coding	TRUE	TRUE
183286	chr2L	13808360	13811474	FBgn0028658	adat	FBtr0080573	-	protein_coding	TRUE	TRUE
190466	chr2L	6041178	6045970	FBgn0000052	ade2	FBtr0079220	-	protein_coding	TRUE	TRUE
621	chr2L	7014861	7023940	FBgn0000053	ade3	FBtr0079431	-	protein_coding	TRUE	TRUE
50671	chrX	12651069	12654650	FBgn0020513	ade5	FBtr0333799	-	protein_coding	TRUE	TRUE
110585	chr2R	2549775	2555590	FBgn0000054	Adf1	FBtr0086111	+	protein_coding	TRUE	TRUE
3793	chr3L	17744831	17757258	FBgn0036752	Adgf-A	FBtr0075190	-	protein_coding	TRUE	TRUE
135342	chr3L	17741933	17743688	FBgn0036751	Adgf-B	FBtr0075193	-	protein_coding	TRUE	TRUE
144546	chr3R	9532479	9534851	FBgn0038173	Adgf-C	FBtr0082821	+	protein_coding	TRUE	TRUE
59086	chr3R	9528806	9531180	FBgn0038172	Adgf-D	FBtr0082845	-	protein_coding	TRUE	TRUE
83173	chr2R	10544303	10546260	FBgn0033952	Adgf-E	FBtr0087482	-	protein_coding	TRUE	TRUE
38600	chr2L	14615555	14618902	FBgn0000055	Adh	FBtr0100591	+	protein_coding	TRUE	TRUE
117227	chr2L	14615555	14618902	FBgn0000056	Adhr	FBtr0006151	+	protein_coding	TRUE	TRUE
121282	chr3L	12193422	12197182	FBgn0022709	Adk1	FBtr0076018	-	protein_coding	TRUE	TRUE
15690	chr2R	19911721	19913400	FBgn0022708	Adk2	FBtr0072163	+	protein_coding	TRUE	TRUE
99619	chr3R	6713288	6715310	FBgn0042094	Adk3	FBtr0082331	-	protein_coding	TRUE	TRUE
6278	chr3R	25960997	25975328	FBgn0039747	AdoR	FBtr0085581	-	protein_coding	TRUE	TRUE
30101	chr2R	14039209	14041565	FBgn0000057	adp	FBtr0086744	+	protein_coding	TRUE	TRUE
184350	chr2R	3130529	3133263	FBgn0026602	Ady43A	FBtr0089050	-	protein_coding	TRUE	TRUE
120033	chr3L	21426528	21431739	FBgn0005694	Aef1	FBtr0078348	+	protein_coding	TRUE	TRUE
62193	chr2R	13673642	13676072	FBgn0026309	aft	FBtr0089549	+	protein_coding	TRUE	TRUE
41789	chr3R	10145913	10152427	FBgn0038223	Afti	FBtr0310001	-	protein_coding	TRUE	TRUE
140494	chrX	14678697	14680584	FBgn0015010	Ag5r	FBtr0333658	-	protein_coding	TRUE	TRUE
29357	chrX	14676985	14678085	FBgn0020508	Ag5r2	FBtr0073938	-	protein_coding	TRUE	TRUE
161135	chr3L	4246343	4254306	FBgn0041171	ago	FBtr0073245	-	protein_coding	TRUE	TRUE
42677	chr2R	9830892	9845594	FBgn0262739	AGO1	FBtr0305592	-	protein_coding	TRUE	TRUE
41599	chr3L	15547213	15554142	FBgn0087035	AGO2	FBtr0075560	+	protein_coding	TRUE	TRUE
129635	chr3L	23547693	23682740	FBgn0250816	AGO3	FBtr0299881	+	protein_coding	TRUE	TRUE
6611	chr3R	2485130	2485822	FBgn0024912	agt	FBtr0081697	-	protein_coding	TRUE	TRUE
19429	chrX	15344294	15346679	FBgn0014455	Ahcy13	FBtr0332590	+	protein_coding	TRUE	TRUE
161192	chr3R	12804161	12807905	FBgn0015011	Ahcy89E	FBtr0083379	-	protein_coding	TRUE	TRUE
130636	chr2L	2151741	2155389	FBgn0031392	AIF	FBtr0330657	+	protein_coding	TRUE	TRUE
126230	chr2R	8456518	8457372	FBgn0033754	Ak6	FBtr0087891	-	protein_coding	TRUE	TRUE
136856	chr2L	8415690	8430984	FBgn0027932	Akap200	FBtr0079664	+	protein_coding	TRUE	TRUE
188375	chr3L	4141467	4142070	FBgn0004552	Akh	FBtr0073213	+	protein_coding	TRUE	TRUE
37085	chr3L	7362943	7366811	FBgn0082598	akirin	FBtr0076849	+	protein_coding	TRUE	TRUE
7216	chr3R	11924938	11930239	FBgn0010379	Akt1	FBtr0083226	+	protein_coding	TRUE	TRUE
34004	chr2L	378112	387439	FBgn0000061	al	FBtr0078053	+	protein_coding	TRUE	TRUE
186123	chr2R	19852290	19854280	FBgn0020764	Alas	FBtr0072151	+	protein_coding	TRUE	TRUE
125798	chr2R	5022880	5025455	FBgn0260972	alc	FBtr0088624	-	protein_coding	TRUE	TRUE
21558	chr3L	18478237	18495657	FBgn0036789	AlCR2	FBtr0332867	-	protein_coding	TRUE	TRUE
14515	chr3R	13496993	13499550	FBgn0000063	ald	FBtr0083478	+	protein_coding	TRUE	TRUE
102177	chr3R	22079791	22087313	FBgn0000064	Ald	FBtr0084994	-	protein_coding	TRUE	TRUE
31691	chr2L	9387389	9391567	FBgn0012036	Aldh	FBtr0079806	+	protein_coding	TRUE	TRUE
56665	chr2R	3354384	3364667	FBgn0010548	Aldh-III	FBtr0308198	-	protein_coding	TRUE	TRUE
67280	chr3L	11158071	11159720	FBgn0052076	Alg10	FBtr0076217	+	protein_coding	TRUE	TRUE
3273	chr3RHet	1894569	1899122	FBgn0086378	Alg-2	FBtr0301810	-	protein_coding	TRUE	TRUE
28477	chr3R	2923405	2949907	FBgn0261238	Alh	FBtr0081612	-	protein_coding	TRUE	TRUE
148807	chr2L	8993818	8997379	FBgn0013746	alien	FBtr0331452	-	protein_coding	TRUE	TRUE
190136	chr3R	23522188	23525967	FBgn0086346	ALiX	FBtr0085241	-	protein_coding	TRUE	TRUE
164643	chr2R	12512798	12527516	FBgn0040505	Alk	FBtr0331926	-	protein_coding	TRUE	TRUE
65295	chrX	15752167	15753520	FBgn0065035	AlkB	FBtr0074168	-	protein_coding	TRUE	TRUE
157507	chr3R	25417542	25442879	FBgn0086361	alph	FBtr0085444	+	protein_coding	TRUE	TRUE
135075	chr2L	3021309	3023141	FBgn0031491	alpha4GT1	FBtr0077670	-	protein_coding	TRUE	TRUE
174703	chr3R	21657971	21668287	FBgn0039378	alpha4GT2	FBtr0300129	+	protein_coding	TRUE	TRUE
57982	chr2L	408030	414777	FBgn0263350	alpha-Adaptin	FBtr0089488	-	protein_coding	TRUE	TRUE
83593	chr3L	23311746	23331200	FBgn0010215	alpha-Cat	FBtr0070038	-	protein_coding	TRUE	TRUE
136238	chr2R	19845365	19849154	FBgn0029105	alpha-catenin-related	FBtr0330254	+	protein_coding	TRUE	TRUE
183569	chr3L	1641066	1645199	FBgn0025725	alphaCop	FBtr0072812	-	protein_coding	TRUE	TRUE
86296	chr3R	3371455	3374844	FBgn0015568	alpha-Est1	FBtr0081544	-	protein_coding	TRUE	TRUE
171124	chr3R	3312305	3319636	FBgn0015569	alpha-Est10	FBtr0305910	-	protein_coding	TRUE	TRUE
181215	chr3R	3367533	3370952	FBgn0015570	alpha-Est2	FBtr0310421	+	protein_coding	TRUE	TRUE
47916	chr3R	3364694	3367349	FBgn0015571	alpha-Est3	FBtr0081545	-	protein_coding	TRUE	TRUE
163922	chr3R	3362409	3364333	FBgn0015572	alpha-Est4	FBtr0081546	-	protein_coding	TRUE	TRUE
67444	chr3R	3359218	3362247	FBgn0261393	alpha-Est5	FBtr0307274	-	protein_coding	TRUE	TRUE
142692	chr3R	3350289	3354499	FBgn0015574	alpha-Est6	FBtr0081549	-	protein_coding	TRUE	TRUE
7391	chr3R	3345285	3349476	FBgn0015575	alpha-Est7	FBtr0081550	-	protein_coding	TRUE	TRUE
171336	chr3R	3335065	3341391	FBgn0015576	alpha-Est8	FBtr0081553	-	protein_coding	TRUE	TRUE
87306	chr3R	3319819	3330808	FBgn0015577	alpha-Est9	FBtr0302355	-	protein_coding	TRUE	TRUE
142670	chr3L	6002546	6004121	FBgn0035657	alphaKap4	FBtr0077069	-	protein_coding	TRUE	TRUE
58008	chrX	10170088	10219990	FBgn0259170	alpha-Man-I	FBtr0300513	-	protein_coding	TRUE	TRUE
173005	chr3R	5238271	5242986	FBgn0011740	alpha-Man-II	FBtr0082031	+	protein_coding	TRUE	TRUE
70596	chr3R	11629974	11649840	FBgn0026616	alpha-Man-IIb	FBtr0083179	+	protein_coding	TRUE	TRUE
144325	chr2R	11146272	11150371	FBgn0034005	alphaPS4	FBtr0087371	+	protein_coding	TRUE	TRUE
62956	chr2R	19444333	19447720	FBgn0034880	alphaPS5	FBtr0072063	+	protein_coding	TRUE	TRUE
74616	chr3L	1778485	1795328	FBgn0250789	alpha-Spec	FBtr0332879	-	protein_coding	TRUE	TRUE
77295	chr2R	7231765	7232624	FBgn0003863	alphaTry	FBtr0088161	-	protein_coding	TRUE	TRUE
7304	chr3L	9674368	9676470	FBgn0087040	alphaTub67C	FBtr0076393	+	protein_coding	TRUE	TRUE
126768	chr3R	2912321	2914561	FBgn0003884	alphaTub84B	FBtr0081639	+	protein_coding	TRUE	TRUE
23110	chr3R	3356478	3358454	FBgn0003885	alphaTub84D	FBtr0081538	+	protein_coding	TRUE	TRUE
101276	chr3R	5556943	5558987	FBgn0003886	alphaTub85E	FBtr0082087	-	protein_coding	TRUE	TRUE
7521	chrX	19642417	19644199	FBgn0031068	Alr	FBtr0331763	+	protein_coding	TRUE	TRUE
94329	chr3R	21206785	21208522	FBgn0039332	alrm	FBtr0084846	-	protein_coding	TRUE	TRUE
150961	chrX	3468569	3560757	FBgn0028961	AlstR	FBtr0070575	+	protein_coding	TRUE	TRUE
89420	chr3R	13499903	13508234	FBgn0038535	alt	FBtr0089413	-	protein_coding	TRUE	TRUE
118735	chr3L	3024129	3026521	FBgn0004372	aly	FBtr0073006	-	protein_coding	TRUE	TRUE
9833	chr3R	2588315	2590983	FBgn0000071	Ama	FBtr0081618	+	protein_coding	TRUE	TRUE
7657	chr2L	19110159	19114110	FBgn0000075	amd	FBtr0081153	+	protein_coding	TRUE	TRUE
74940	chrX	19780141	19784093	FBgn0086782	amn	FBtr0074802	-	protein_coding	TRUE	TRUE
150653	chr3R	22523418	22539881	FBgn0023179	amon	FBtr0085048	-	protein_coding	TRUE	TRUE
188385	chr2L	18596047	18597200	FBgn0003270	amos	FBtr0081081	-	protein_coding	TRUE	TRUE
73218	chr2R	8481109	8499573	FBgn0027356	Amph	FBtr0333099	+	protein_coding	TRUE	TRUE
181162	chrX	11604153	11609063	FBgn0030328	Amun	FBtr0073615	-	protein_coding	TRUE	TRUE
33277	chrX	9139948	9141369	FBgn0000077	amx	FBtr0071331	-	protein_coding	TRUE	TRUE
142999	chr2R	13012267	13013887	FBgn0000078	Amy-d	FBtr0086983	+	protein_coding	TRUE	TRUE
50609	chr2R	13006211	13007808	FBgn0000079	Amy-p	FBtr0087004	-	protein_coding	TRUE	TRUE
145975	chr2R	12538600	12540204	FBgn0020506	Amyrel	FBtr0087117	-	protein_coding	TRUE	TRUE
108232	chr2R	4956606	4965059	FBgn0011746	ana	FBtr0300501	+	protein_coding	TRUE	TRUE
58516	chr3R	20356400	20362118	FBgn0262167	ana1	FBtr0084645	+	protein_coding	TRUE	TRUE
132568	chr2R	4786228	4787706	FBgn0027513	ana2	FBtr0088685	-	protein_coding	TRUE	TRUE
153245	chr2R	8232591	8238583	FBgn0033718	ana3	FBtr0087904	+	protein_coding	TRUE	TRUE
116679	chr2L	13905645	13909172	FBgn0012037	Ance	FBtr0080552	+	protein_coding	TRUE	TRUE
37147	chr2L	13909640	13911640	FBgn0032535	Ance-2	FBtr0080554	+	protein_coding	TRUE	TRUE
28009	chr2L	13914725	13955757	FBgn0032536	Ance-3	FBtr0100327	+	protein_coding	TRUE	TRUE
130580	chr2R	4927225	4929647	FBgn0033366	Ance-4	FBtr0088664	-	protein_coding	TRUE	TRUE
128458	chr2R	20776151	20778545	FBgn0035076	Ance-5	FBtr0072420	-	protein_coding	TRUE	TRUE
70866	chr3R	21637633	21638856	FBgn0011273	And	FBtr0301963	+	protein_coding	TRUE	TRUE
99341	chrX	18072559	18073505	FBgn0030898	Andorra	FBtr0074591	-	protein_coding	TRUE	TRUE
174270	chr2R	19581521	19582755	FBgn0016762	angel	FBtr0072083	+	protein_coding	TRUE	TRUE
101042	chr4	137015	150380	FBgn0011747	Ank	FBtr0089172	-	protein_coding	TRUE	TRUE
134035	chr3L	7648489	7711495	FBgn0261788	Ank2	FBtr0334060	-	protein_coding	TRUE	TRUE
83564	chr3R	16890963	16896639	FBgn0000083	AnnIX	FBtr0089520	+	protein_coding	TRUE	TRUE
164069	chrX	20065478	20067552	FBgn0000084	AnnX	FBtr0070025	-	protein_coding	TRUE	TRUE
13167	chr3R	26035670	26036011	FBgn0000094	Anp	FBtr0085611	+	protein_coding	TRUE	TRUE
138427	chrX	10672987	10680913	FBgn0025111	Ant2	FBtr0073426	-	protein_coding	TRUE	TRUE
36405	chrX	11062048	11063091	FBgn0026268	antdh	FBtr0073468	-	protein_coding	TRUE	TRUE
187922	chr3R	2721975	2824950	FBgn0260642	Antp	FBtr0081650	-	protein_coding	TRUE	TRUE
163301	chrX	16310991	16316275	FBgn0030749	Anxb11	FBtr0334042	-	protein_coding	TRUE	TRUE
119234	chr2L	2156484	2178749	FBgn0000097	aop	FBtr0330658	-	protein_coding	TRUE	TRUE
141945	chr3L	16463486	16476750	FBgn0004569	aos	FBtr0075408	-	protein_coding	TRUE	TRUE
74445	chr3R	8258255	8259626	FBgn0029512	Aos1	FBtr0082593	-	protein_coding	TRUE	TRUE
72670	chr2R	1593707	1614335	FBgn0000099	ap	FBtr0086058	-	protein_coding	TRUE	TRUE
97934	chrX	9002724	9011772	FBgn0030089	AP-1gamma	FBtr0071294	+	protein_coding	TRUE	TRUE
146719	chr3R	19784376	19788277	FBgn0039132	AP-1sigma	FBtr0084496	+	protein_coding	TRUE	TRUE
142311	chr3L	21579928	21606449	FBgn0261953	AP-2	FBtr0333468	+	protein_coding	TRUE	TRUE
74752	chr3R	17094931	17095799	FBgn0043012	AP-2sigma	FBtr0084103	-	protein_coding	TRUE	TRUE
129364	chr3R	5383437	5385245	FBgn0024833	AP-47	FBtr0082114	-	protein_coding	TRUE	TRUE
143861	chr3R	18288153	18290325	FBgn0263351	AP-50	FBtr0301866	+	protein_coding	TRUE	TRUE
169809	chr3R	24658022	24670372	FBgn0015589	Apc	FBtr0085351	-	protein_coding	TRUE	TRUE
148926	chr2R	13404766	13405688	FBgn0034231	Apc10	FBtr0086951	-	protein_coding	TRUE	TRUE
181691	chr3R	19989690	19994041	FBgn0026598	Apc2	FBtr0084552	+	protein_coding	TRUE	TRUE
89738	chrX	8976964	8979900	FBgn0052707	APC4	FBtr0071285	+	protein_coding	TRUE	TRUE
174477	chrX	6491078	6493732	FBgn0029879	Apc7	FBtr0070946	+	protein_coding	TRUE	TRUE
42033	chr2L	16908229	16910431	FBgn0026150	ApepP	FBtr0080956	-	protein_coding	TRUE	TRUE
180805	chr2L	9938178	9938790	FBgn0051713	Apf	FBtr0079895	-	protein_coding	TRUE	TRUE
82122	chr2L	2766235	2767154	FBgn0031458	aph-1	FBtr0077716	+	protein_coding	TRUE	TRUE
67810	chr3R	26874654	26878268	FBgn0016123	Aph-4	FBtr0085733	+	protein_coding	TRUE	TRUE
